Feature,Value
words per sent,31.8
LIX,57.90062893081761
# words,318
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6894736842105263
adjectives,3.0
nouns,8.1
verbs,2.8
pronouns,6.0
particles,7.3
punctuation marks,4.5
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,1.0
full verbs,1.5
split verbs,0.0
nominative,2.1
accusative,2.0
dative,1.8
genitive,1.2
gen modifiers,0.8
prep with gen,0.0
all genitives,0.8
accusative obj,1.1
dative obj,0.2
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.3
gen+prep obj,0.1
present forms,0.3
past forms,0.7
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.7
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.1
comp+superlative,0.1
conjunctions,0.1
subjunctions,0.4
relative clauses,0.5
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.1
question marks,0.1
subj/pred inversions,0.4
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,182.5
concessive,20.6
conditional,333.9
consecutive,7.8
final,25.8
interrogative,11.5
modal,72.3
other,366.0
temporal,309.8
A1 features,5
A1 features summed,0.7
A2 features,8
A2 features summed,526.0999999999999
B1 features,5
B1 features summed,350.20000000000005
level features (all),37
level features (all) summed,50.20000000000002
