Feature,Value
words per sent,21.1
LIX,42.900947867298584
# words,211
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7401574803149606
adjectives,1.6
nouns,4.3
verbs,2.0
pronouns,4.3
particles,5.2
punctuation marks,3.6
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.5
full verbs,1.3
split verbs,0.1
nominative,1.1
accusative,0.8
dative,1.5
genitive,0.4
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.5
dative obj,0.4
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.9
gen+prep obj,0.0
present forms,0.9
past forms,0.4
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.2
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.0
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.2
question marks,0.0
subj/pred inversions,0.5
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,182.5
concessive,20.6
conditional,334.5
consecutive,7.8
final,25.8
interrogative,11.5
modal,72.5
other,367.1
temporal,311.3
A1 features,5
A1 features summed,0.7000000000000001
A2 features,6
A2 features summed,525.6999999999999
B1 features,5
B1 features summed,351.50000000000006
level features (all),28
level features (all) summed,31.8
