Feature,Value
words per sent,22.1
LIX,34.76968325791855
# words,221
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6692307692307692
adjectives,1.3
nouns,3.8
verbs,3.0
pronouns,4.5
particles,5.7
punctuation marks,3.8
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.4
full verbs,2.4
split verbs,0.3
nominative,1.2
accusative,1.1
dative,0.9
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.8
dative obj,0.0
genitive obj,0.0
prepositional obj,0.4
acc+dat obj,0.8
gen+prep obj,0.4
present forms,0.4
past forms,1.3
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.6
subjunctions,0.0
relative clauses,0.6
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.2
question words,0.0
question marks,0.0
subj/pred inversions,0.4
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,178.7
concessive,19.2
conditional,321.1
consecutive,7.8
final,25.4
interrogative,11.1
modal,70.8
other,357.2
temporal,299.4
A1 features,5
A1 features summed,1.4000000000000001
A2 features,6
A2 features summed,509.40000000000003
B1 features,5
B1 features summed,338.1
level features (all),33
level features (all) summed,35.600000000000016
