Feature,Value
words per sent,26.3
LIX,44.55095057034221
# words,263
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6453900709219859
adjectives,1.9
nouns,5.1
verbs,2.7
pronouns,6.4
particles,6.5
punctuation marks,3.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,1.0
full verbs,1.6
split verbs,0.3
nominative,1.1
accusative,2.3
dative,1.4
genitive,0.1
gen modifiers,0.0
prep with gen,0.1
all genitives,0.1
accusative obj,0.7
dative obj,0.3
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.0
gen+prep obj,0.1
present forms,1.8
past forms,0.1
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.3
subjunctions,0.1
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.3
question marks,0.2
subj/pred inversions,0.5
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,182.5
concessive,20.6
conditional,334.5
consecutive,7.8
final,25.8
interrogative,11.6
modal,72.6
other,367.1
temporal,311.3
A1 features,7
A1 features summed,1.5000000000000002
A2 features,6
A2 features summed,525.3
B1 features,5
B1 features summed,351.40000000000003
level features (all),33
level features (all) summed,40.500000000000014
