Feature,Value
words per sent,34.3
LIX,59.955976676384836
# words,343
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6820276497695853
adjectives,1.5
nouns,10.7
verbs,3.8
pronouns,5.3
particles,8.0
punctuation marks,4.5
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,1.5
full verbs,2.3
split verbs,0.0
nominative,4.0
accusative,1.1
dative,2.6
genitive,0.8
gen modifiers,0.6
prep with gen,0.0
all genitives,0.6
accusative obj,0.7
dative obj,0.2
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,0.9
gen+prep obj,0.3
present forms,1.2
past forms,0.4
perfect forms,0.4
pqp forms,0.1
perfect+pqp forms,0.4
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.5
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.4
subjunctions,0.3
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.2
all participial clauses,0.2
negations,0.3
question words,0.0
question marks,0.0
subj/pred inversions,0.7
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,176.7
concessive,18.5
conditional,312.9
consecutive,7.8
final,25.3
interrogative,10.3
modal,69.1
other,349.8
temporal,291.2
A1 features,3
A1 features summed,1.1
A2 features,7
A2 features summed,498.90000000000003
B1 features,4
B1 features summed,327.8
level features (all),31
level features (all) summed,54.8
