Feature,Value
words per sent,34.1
LIX,51.108797653958945
# words,341
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7081081081081081
adjectives,2.5
nouns,6.3
verbs,3.4
pronouns,7.3
particles,10.3
punctuation marks,4.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.6
full verbs,2.7
split verbs,0.2
nominative,1.1
accusative,1.5
dative,3.7
genitive,0.5
gen modifiers,0.4
prep with gen,0.0
all genitives,0.4
accusative obj,1.1
dative obj,0.7
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.8
gen+prep obj,0.1
present forms,1.1
past forms,0.7
perfect forms,0.1
pqp forms,0.1
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.2
superlative,0.1
comp+superlative,0.3
conjunctions,0.3
subjunctions,0.3
relative clauses,0.1
participial clauses pres,0.1
participial clauses past,0.0
all participial clauses,0.1
negations,0.4
question words,0.5
question marks,0.1
subj/pred inversions,0.8
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,182.5
concessive,20.6
conditional,335.1
consecutive,7.8
final,25.8
interrogative,11.6
modal,72.7
other,367.6
temporal,311.5
A1 features,7
A1 features summed,1.7000000000000002
A2 features,8
A2 features summed,527.4999999999999
B1 features,5
B1 features summed,351.6
level features (all),40
level features (all) summed,54.90000000000003
