Feature,Value
words per sent,60.4
LIX,80.26754966887417
# words,604
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6028169014084507
adjectives,5.1
nouns,12.1
verbs,6.1
pronouns,11.3
particles,16.1
punctuation marks,9.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,2.1
full verbs,3.6
split verbs,0.0
nominative,3.2
accusative,3.4
dative,3.8
genitive,1.4
gen modifiers,1.0
prep with gen,0.0
all genitives,1.1
accusative obj,1.8
dative obj,0.4
genitive obj,0.1
prepositional obj,0.3
acc+dat obj,2.2
gen+prep obj,0.4
present forms,1.1
past forms,1.5
perfect forms,0.4
pqp forms,0.0
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.4
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.1
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.3
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.4
subjunctions,0.6
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.7
question marks,0.1
subj/pred inversions,1.1
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,181.5
concessive,20.1
conditional,331.4
consecutive,7.8
final,25.7
interrogative,11.4
modal,71.9
other,364.6
temporal,308.4
A1 features,6
A1 features summed,2.0
A2 features,9
A2 features summed,524.1
B1 features,6
B1 features summed,348.09999999999997
level features (all),39
level features (all) summed,93.09999999999997
