Feature,Value
words per sent,15.7
LIX,30.986624203821655
# words,157
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.625
adjectives,0.9
nouns,2.8
verbs,2.4
pronouns,3.8
particles,3.5
punctuation marks,2.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.4
full verbs,1.8
split verbs,0.3
nominative,0.6
accusative,0.7
dative,1.0
genitive,0.4
gen modifiers,0.4
prep with gen,0.0
all genitives,0.4
accusative obj,0.4
dative obj,0.1
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,0.5
gen+prep obj,0.3
present forms,0.0
past forms,1.3
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.1
comp+superlative,0.1
conjunctions,0.2
subjunctions,0.2
relative clauses,0.4
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.0
question marks,0.0
subj/pred inversions,0.2
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.1
'brauchen'+'lassen' constr,0.1
causal,202.6
concessive,24.3
conditional,362.4
consecutive,7.8
final,28.0
interrogative,12.0
modal,81.4
other,415.3
temporal,344.3
A1 features,3
A1 features summed,0.6
A2 features,7
A2 features summed,574.8999999999999
B1 features,5
B1 features summed,388.8
level features (all),33
level features (all) summed,26.400000000000002
