Feature,Value
words per sent,16.9
LIX,50.627810650887575
# words,169
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7282608695652174
adjectives,1.6
nouns,3.8
verbs,2.4
pronouns,3.7
particles,4.1
punctuation marks,1.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,0.6
full verbs,1.4
split verbs,0.1
nominative,1.3
accusative,1.7
dative,0.4
genitive,0.2
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,1.0
dative obj,0.1
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.1
gen+prep obj,0.2
present forms,0.7
past forms,0.1
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.1
subj 1 forms,0.2
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.3
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.1
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.2
question words,0.1
question marks,0.0
subj/pred inversions,0.4
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.1
'brauchen'+'lassen' constr,0.1
causal,204.6
concessive,24.7
conditional,367.5
consecutive,8.2
final,28.3
interrogative,12.1
modal,81.6
other,421.5
temporal,346.5
A1 features,7
A1 features summed,1.0
A2 features,8
A2 features summed,581.0000000000001
B1 features,4
B1 features summed,391.5
level features (all),40
level features (all) summed,29.100000000000016
