Feature,Value
words per sent,19.4
LIX,42.08041237113402
# words,194
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6964285714285714
adjectives,1.3
nouns,3.8
verbs,3.1
pronouns,3.7
particles,4.6
punctuation marks,2.9
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,1.0
full verbs,1.9
split verbs,0.2
nominative,1.0
accusative,1.0
dative,1.2
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,1.0
dative obj,0.4
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.4
gen+prep obj,0.2
present forms,1.0
past forms,0.6
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.1
passive with agens,0.0
comparative,0.2
superlative,0.0
comp+superlative,0.2
conjunctions,0.1
subjunctions,0.3
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.2
question words,0.0
question marks,0.0
subj/pred inversions,0.5
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,204.2
concessive,24.7
conditional,366.9
consecutive,8.1
final,28.2
interrogative,12.1
modal,81.6
other,420.9
temporal,346.0
A1 features,4
A1 features summed,0.6
A2 features,8
A2 features summed,580.7
B1 features,6
B1 features summed,391.2
level features (all),36
level features (all) summed,33.20000000000001
