Feature,Value
words per sent,16.4
LIX,42.61951219512195
# words,164
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.75
adjectives,2.0
nouns,3.2
verbs,2.5
pronouns,3.4
particles,2.8
punctuation marks,2.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.5
full verbs,2.0
split verbs,0.2
nominative,1.4
accusative,0.6
dative,1.1
genitive,0.2
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,0.4
dative obj,0.0
genitive obj,0.0
prepositional obj,0.4
acc+dat obj,0.4
gen+prep obj,0.4
present forms,0.0
past forms,1.2
perfect forms,0.0
pqp forms,0.3
perfect+pqp forms,0.4
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.3
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.2
subjunctions,0.1
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.0
question words,0.1
question marks,0.0
subj/pred inversions,0.5
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,202.4
concessive,24.2
conditional,362.2
consecutive,7.8
final,28.0
interrogative,12.0
modal,81.4
other,414.7
temporal,343.7
A1 features,3
A1 features summed,0.5
A2 features,6
A2 features summed,574.2
B1 features,5
B1 features summed,388.0
level features (all),30
level features (all) summed,27.699999999999996
