Feature,Value
words per sent,10.3
LIX,24.863106796116504
# words,103
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7894736842105263
adjectives,0.6
nouns,1.4
verbs,1.7
pronouns,2.4
particles,2.3
punctuation marks,1.8
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.3
full verbs,1.3
split verbs,0.2
nominative,0.2
accusative,0.6
dative,0.7
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.5
dative obj,0.4
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,0.9
gen+prep obj,0.1
present forms,0.3
past forms,0.8
perfect forms,0.2
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.3
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.1
question marks,0.0
subj/pred inversions,0.3
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,202.4
concessive,24.2
conditional,362.1
consecutive,7.8
final,28.0
interrogative,12.0
modal,81.4
other,414.6
temporal,343.5
A1 features,6
A1 features summed,1.1
A2 features,6
A2 features summed,573.6
B1 features,4
B1 features summed,387.5
level features (all),26
level features (all) summed,18.0
