Feature,Value
words per sent,21.4
LIX,36.82056074766355
# words,214
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7175572519083969
adjectives,2.9
nouns,3.1
verbs,3.4
pronouns,4.6
particles,4.0
punctuation marks,3.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.4
aux verbs,0.6
full verbs,2.4
split verbs,0.3
nominative,0.8
accusative,0.9
dative,1.4
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.8
dative obj,0.4
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.2
gen+prep obj,0.2
present forms,2.1
past forms,0.3
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.3
subjunctions,0.2
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.1
question marks,0.1
subj/pred inversions,0.8
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,202.3
concessive,24.2
conditional,361.7
consecutive,7.8
final,28.0
interrogative,12.0
modal,81.4
other,413.9
temporal,343.5
A1 features,7
A1 features summed,1.5
A2 features,9
A2 features summed,573.0
B1 features,5
B1 features summed,387.7
level features (all),37
level features (all) summed,36.40000000000001
