Feature,Value
words per sent,17.3
LIX,29.438728323699422
# words,173
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6344086021505376
adjectives,0.7
nouns,1.3
verbs,3.5
pronouns,4.8
particles,3.5
punctuation marks,3.5
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,1.4
full verbs,1.9
split verbs,0.2
nominative,0.2
accusative,1.0
dative,0.7
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.9
dative obj,0.1
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.0
gen+prep obj,0.1
present forms,0.4
past forms,0.6
perfect forms,0.5
pqp forms,0.1
perfect+pqp forms,0.4
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.6
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.3
subjunctions,0.2
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.5
question marks,0.2
subj/pred inversions,0.8
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,118.1
concessive,12.0
conditional,244.7
consecutive,7.3
final,17.5
interrogative,6.5
modal,54.6
other,279.7
temporal,237.5
A1 features,7
A1 features summed,1.9000000000000001
A2 features,7
A2 features summed,371.0
B1 features,5
B1 features summed,263.5
level features (all),37
level features (all) summed,30.50000000000001
