Feature,Value
words per sent,22.8
LIX,40.782456140350874
# words,228
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7014925373134329
adjectives,2.4
nouns,4.4
verbs,3.0
pronouns,4.8
particles,5.6
punctuation marks,2.6
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.5
full verbs,2.3
split verbs,0.7
nominative,1.1
accusative,1.5
dative,1.5
genitive,0.2
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,0.6
dative obj,0.2
genitive obj,0.0
prepositional obj,0.4
acc+dat obj,0.8
gen+prep obj,0.4
present forms,0.0
past forms,1.6
perfect forms,0.0
pqp forms,0.2
perfect+pqp forms,0.4
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.5
subjunctions,0.0
relative clauses,0.5
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.1
question words,0.0
question marks,0.0
subj/pred inversions,0.7
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,117.8
concessive,12.0
conditional,244.1
consecutive,7.3
final,17.5
interrogative,6.5
modal,54.6
other,278.0
temporal,236.7
A1 features,4
A1 features summed,1.4
A2 features,7
A2 features summed,371.6
B1 features,5
B1 features summed,263.0
level features (all),31
level features (all) summed,37.90000000000001
