Feature,Value
words per sent,25.1
LIX,38.24741035856574
# words,251
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5608108108108109
adjectives,1.1
nouns,3.4
verbs,4.2
pronouns,5.5
particles,5.6
punctuation marks,5.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,2.1
full verbs,1.4
split verbs,0.0
nominative,1.5
accusative,0.8
dative,1.1
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.6
dative obj,0.4
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.0
gen+prep obj,0.2
present forms,1.5
past forms,0.1
perfect forms,0.6
pqp forms,0.0
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.6
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.0
subjunctions,0.1
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.2
question marks,0.4
subj/pred inversions,1.2
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,117.5
concessive,11.9
conditional,243.6
consecutive,7.3
final,17.5
interrogative,6.5
modal,54.6
other,276.9
temporal,236.2
A1 features,5
A1 features summed,1.6
A2 features,7
A2 features summed,369.2
B1 features,5
B1 features summed,262.0
level features (all),30
level features (all) summed,39.90000000000002
