Feature,Value
words per sent,10.6
LIX,30.411320754716982
# words,106
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.696969696969697
adjectives,0.3
nouns,2.0
verbs,1.6
pronouns,2.2
particles,2.7
punctuation marks,1.8
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.4
full verbs,1.0
split verbs,0.4
nominative,0.4
accusative,0.7
dative,0.5
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.7
dative obj,0.0
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.7
gen+prep obj,0.0
present forms,0.9
past forms,0.1
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.1
participial clauses past,0.0
all participial clauses,0.1
negations,0.1
question words,0.0
question marks,0.2
subj/pred inversions,0.2
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,119.8
concessive,12.2
conditional,249.4
consecutive,7.3
final,17.5
interrogative,6.8
modal,55.3
other,287.4
temporal,241.1
A1 features,4
A1 features summed,0.9000000000000001
A2 features,5
A2 features summed,376.70000000000005
B1 features,4
B1 features summed,267.4
level features (all),29
level features (all) summed,18.000000000000007
