Feature,Value
words per sent,14.1
LIX,24.029078014184396
# words,141
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.620253164556962
adjectives,0.3
nouns,1.5
verbs,2.3
pronouns,3.5
particles,3.2
punctuation marks,3.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.2
full verbs,1.8
split verbs,0.3
nominative,0.3
accusative,1.0
dative,0.6
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.8
dative obj,0.2
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.0
gen+prep obj,0.1
present forms,0.7
past forms,0.9
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.1
subjunctions,0.1
relative clauses,0.5
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.2
question marks,0.0
subj/pred inversions,0.4
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,117.8
concessive,12.0
conditional,244.3
consecutive,7.3
final,17.5
interrogative,6.5
modal,54.6
other,278.0
temporal,236.7
A1 features,4
A1 features summed,0.8
A2 features,6
A2 features summed,370.6
B1 features,5
B1 features summed,263.0
level features (all),29
level features (all) summed,24.00000000000001
