Feature,Value
words per sent,15.8
LIX,25.926582278481014
# words,158
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.59375
adjectives,0.6
nouns,2.0
verbs,2.6
pronouns,3.3
particles,3.3
punctuation marks,3.9
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.7
full verbs,1.7
split verbs,0.3
nominative,0.4
accusative,1.1
dative,0.6
genitive,0.1
gen modifiers,0.0
prep with gen,0.0
all genitives,0.1
accusative obj,0.9
dative obj,0.1
genitive obj,0.1
prepositional obj,0.1
acc+dat obj,1.0
gen+prep obj,0.2
present forms,1.6
past forms,0.0
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.3
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.3
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.3
subjunctions,0.2
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.2
question marks,0.0
subj/pred inversions,0.3
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,117.2
concessive,11.9
conditional,241.8
consecutive,7.3
final,17.5
interrogative,6.4
modal,54.6
other,274.4
temporal,234.7
A1 features,7
A1 features summed,1.4000000000000004
A2 features,6
A2 features summed,366.6
B1 features,5
B1 features summed,260.4
level features (all),33
level features (all) summed,26.900000000000016
