Feature,Value
words per sent,25.8
LIX,40.141085271317834
# words,258
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5782312925170068
adjectives,1.3
nouns,4.1
verbs,4.6
pronouns,6.0
particles,5.6
punctuation marks,4.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.5
aux verbs,0.8
full verbs,3.1
split verbs,0.2
nominative,1.1
accusative,1.4
dative,2.1
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,1.1
dative obj,0.6
genitive obj,0.0
prepositional obj,0.5
acc+dat obj,1.7
gen+prep obj,0.5
present forms,0.9
past forms,1.1
perfect forms,0.3
pqp forms,0.1
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.4
all futur forms,0.0
subj 1 forms,0.4
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.4
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.7
subjunctions,0.2
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.4
question words,0.2
question marks,0.2
subj/pred inversions,1.3
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,66.4
concessive,6.0
conditional,128.5
consecutive,0.9
final,11.5
interrogative,3.3
modal,34.1
other,162.6
temporal,132.7
A1 features,8
A1 features summed,2.6
A2 features,6
A2 features summed,198.00000000000003
B1 features,4
B1 features summed,142.89999999999998
level features (all),33
level features (all) summed,46.20000000000002
