Feature,Value
words per sent,17.0
LIX,33.470588235294116
# words,170
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.594059405940594
adjectives,1.3
nouns,2.4
verbs,2.8
pronouns,4.4
particles,3.7
punctuation marks,2.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.6
full verbs,2.1
split verbs,0.1
nominative,0.7
accusative,0.9
dative,1.1
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.8
dative obj,0.6
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,1.4
gen+prep obj,0.3
present forms,0.0
past forms,1.3
perfect forms,0.1
pqp forms,0.1
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.2
subj 2 forms,0.0
subj 2 aux forms,0.2
ind speech,0.0
irrealis mode,0.0
all subj forms,0.4
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.1
subjunctions,0.2
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.3
question words,0.0
question marks,0.0
subj/pred inversions,0.7
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,65.7
concessive,5.9
conditional,127.0
consecutive,0.2
final,11.2
interrogative,3.2
modal,33.7
other,159.7
temporal,131.0
A1 features,5
A1 features summed,0.7
A2 features,9
A2 features summed,195.49999999999997
B1 features,4
B1 features summed,140.3
level features (all),35
level features (all) summed,30.600000000000016
