Feature,Value
words per sent,29.8
LIX,57.31677852348993
# words,298
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7098765432098766
adjectives,2.0
nouns,6.9
verbs,4.4
pronouns,6.8
particles,6.5
punctuation marks,3.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,0.9
full verbs,3.2
split verbs,0.3
nominative,2.0
accusative,2.2
dative,1.6
genitive,1.3
gen modifiers,0.8
prep with gen,0.0
all genitives,0.9
accusative obj,1.2
dative obj,0.3
genitive obj,0.1
prepositional obj,0.5
acc+dat obj,1.5
gen+prep obj,0.6
present forms,0.4
past forms,1.6
perfect forms,0.0
pqp forms,0.2
perfect+pqp forms,0.8
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.1
passive with agens,0.1
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.6
subjunctions,0.2
relative clauses,1.1
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.1
question words,0.1
question marks,0.0
subj/pred inversions,0.8
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,70.6
concessive,7.0
conditional,135.6
consecutive,4.2
final,12.9
interrogative,3.7
modal,35.1
other,182.3
temporal,143.9
A1 features,5
A1 features summed,1.4000000000000001
A2 features,7
A2 features summed,213.6
B1 features,8
B1 features summed,160.2
level features (all),37
level features (all) summed,54.000000000000014
