Feature,Value
words per sent,36.7
LIX,57.95340599455041
# words,367
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6745283018867925
adjectives,2.0
nouns,8.4
verbs,4.9
pronouns,8.0
particles,8.0
punctuation marks,5.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,1.1
full verbs,3.6
split verbs,0.1
nominative,2.7
accusative,2.2
dative,2.7
genitive,1.3
gen modifiers,1.3
prep with gen,0.0
all genitives,1.3
accusative obj,1.6
dative obj,0.3
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.9
gen+prep obj,0.1
present forms,0.8
past forms,1.1
perfect forms,0.0
pqp forms,0.3
perfect+pqp forms,0.4
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.3
all futur forms,0.1
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.1
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.1
passive with agens,0.0
comparative,0.0
superlative,0.1
comp+superlative,0.1
conjunctions,0.3
subjunctions,0.6
relative clauses,0.5
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.3
question words,0.1
question marks,0.1
subj/pred inversions,0.9
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,68.7
concessive,6.5
conditional,131.3
consecutive,3.1
final,11.9
interrogative,3.5
modal,34.5
other,173.6
temporal,138.8
A1 features,7
A1 features summed,1.2
A2 features,8
A2 features summed,206.0
B1 features,6
B1 features summed,152.5
level features (all),44
level features (all) summed,64.10000000000002
