Feature,Value
words per sent,19.9
LIX,31.960301507537686
# words,199
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5925925925925926
adjectives,0.6
nouns,3.1
verbs,3.7
pronouns,4.3
particles,5.5
punctuation marks,2.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.7
aux verbs,0.4
full verbs,2.4
split verbs,0.5
nominative,0.9
accusative,1.4
dative,1.5
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,1.0
dative obj,0.5
genitive obj,0.0
prepositional obj,0.4
acc+dat obj,1.5
gen+prep obj,0.4
present forms,0.6
past forms,1.1
perfect forms,0.0
pqp forms,0.3
perfect+pqp forms,0.4
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.3
all futur forms,0.0
subj 1 forms,0.2
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.6
subjunctions,0.5
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.0
question marks,0.0
subj/pred inversions,0.7
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,72.6
concessive,7.2
conditional,143.0
consecutive,4.9
final,13.8
interrogative,3.8
modal,35.8
other,189.2
temporal,149.1
A1 features,4
A1 features summed,1.9
A2 features,7
A2 features summed,222.6
B1 features,5
B1 features summed,165.1
level features (all),32
level features (all) summed,36.8
