Feature,Value
words per sent,21.5
LIX,35.918604651162795
# words,215
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.675
adjectives,1.2
nouns,3.3
verbs,3.9
pronouns,4.7
particles,5.8
punctuation marks,2.6
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.5
aux verbs,0.9
full verbs,2.5
split verbs,0.2
nominative,1.2
accusative,1.2
dative,0.7
genitive,0.2
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,1.0
dative obj,0.1
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,1.1
gen+prep obj,0.3
present forms,0.0
past forms,1.3
perfect forms,0.0
pqp forms,0.2
perfect+pqp forms,0.6
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.3
subj 2 forms,0.1
subj 2 aux forms,0.3
ind speech,0.0
irrealis mode,0.0
all subj forms,0.7
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.5
subjunctions,0.3
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.1
question marks,0.0
subj/pred inversions,0.7
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,70.9
concessive,7.0
conditional,136.5
consecutive,4.4
final,13.0
interrogative,3.8
modal,35.2
other,183.6
temporal,144.4
A1 features,5
A1 features summed,1.4
A2 features,8
A2 features summed,214.00000000000003
B1 features,5
B1 features summed,159.79999999999998
level features (all),35
level features (all) summed,37.70000000000001
