Feature,Value
words per sent,23.6
LIX,37.58305084745763
# words,236
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5035971223021583
adjectives,1.0
nouns,2.9
verbs,4.1
pronouns,4.7
particles,5.9
punctuation marks,5.0
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,1.1
full verbs,2.5
split verbs,0.2
nominative,0.9
accusative,1.2
dative,0.8
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.9
dative obj,0.2
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.1
gen+prep obj,0.2
present forms,0.7
past forms,0.8
perfect forms,0.1
pqp forms,0.4
perfect+pqp forms,0.4
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.5
all futur forms,0.1
subj 1 forms,0.2
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.1
irrealis mode,0.0
all subj forms,0.3
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.3
subjunctions,0.5
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.0
question marks,0.0
subj/pred inversions,1.2
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,71.9
concessive,7.2
conditional,141.6
consecutive,4.8
final,13.7
interrogative,3.8
modal,35.6
other,187.0
temporal,147.3
A1 features,5
A1 features summed,1.0
A2 features,7
A2 features summed,219.6
B1 features,5
B1 features summed,163.3
level features (all),38
level features (all) summed,39.60000000000002
