Feature,Value
words per sent,16.7
LIX,34.66407185628742
# words,167
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7755102040816326
adjectives,1.9
nouns,2.7
verbs,2.7
pronouns,3.2
particles,4.3
punctuation marks,1.9
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.5
full verbs,2.1
split verbs,0.5
nominative,1.4
accusative,0.8
dative,0.4
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.6
dative obj,0.2
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,0.8
gen+prep obj,0.2
present forms,0.0
past forms,1.3
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.3
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.1
all subj forms,0.4
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.1
comp+superlative,0.2
conjunctions,0.4
subjunctions,0.1
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.5
question words,0.0
question marks,0.0
subj/pred inversions,0.6
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,71.7
concessive,7.1
conditional,140.2
consecutive,4.6
final,13.5
interrogative,3.8
modal,35.5
other,185.6
temporal,146.0
A1 features,4
A1 features summed,1.5
A2 features,8
A2 features summed,218.39999999999998
B1 features,4
B1 features summed,161.5
level features (all),34
level features (all) summed,29.30000000000001
