Feature,Value
words per sent,15.9
LIX,27.849685534591195
# words,159
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5978260869565217
adjectives,0.4
nouns,1.6
verbs,3.6
pronouns,4.7
particles,2.5
punctuation marks,3.1
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,0.8
full verbs,2.3
split verbs,0.1
nominative,0.7
accusative,1.0
dative,0.6
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,1.0
dative obj,0.3
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.3
gen+prep obj,0.2
present forms,0.9
past forms,0.7
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.1
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.4
relative clauses,0.4
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.3
question words,0.0
question marks,0.0
subj/pred inversions,0.7
placeholder 'es',0.0
'brauchen' constr,0.1
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.1
causal,70.9
concessive,7.0
conditional,136.2
consecutive,4.4
final,13.0
interrogative,3.8
modal,35.2
other,183.5
temporal,144.4
A1 features,3
A1 features summed,0.7
A2 features,7
A2 features summed,212.8
B1 features,5
B1 features summed,160.0
level features (all),35
level features (all) summed,29.50000000000001
