Feature,Value
words per sent,33.8
LIX,48.59289940828402
# words,338
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6019417475728155
adjectives,2.4
nouns,6.4
verbs,4.0
pronouns,5.8
particles,9.0
punctuation marks,6.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.7
full verbs,3.1
split verbs,0.4
nominative,2.3
accusative,1.4
dative,1.5
genitive,0.3
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,1.2
dative obj,0.4
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.6
gen+prep obj,0.1
present forms,0.1
past forms,2.5
perfect forms,0.0
pqp forms,0.2
perfect+pqp forms,0.4
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.8
subjunctions,0.2
relative clauses,0.4
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.1
question marks,0.0
subj/pred inversions,1.3
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,17.1
concessive,1.7
conditional,24.8
consecutive,0.0
final,1.5
interrogative,1.0
modal,11.1
other,34.5
temporal,26.9
A1 features,5
A1 features summed,1.5000000000000002
A2 features,6
A2 features summed,45.10000000000001
B1 features,4
B1 features summed,29.999999999999996
level features (all),32
level features (all) summed,53.70000000000002
