Feature,Value
words per sent,33.9
LIX,51.30412979351033
# words,339
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7027027027027027
adjectives,2.9
nouns,6.1
verbs,3.9
pronouns,8.3
particles,8.1
punctuation marks,4.6
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.8
full verbs,2.8
split verbs,0.1
nominative,1.1
accusative,2.1
dative,2.1
genitive,0.7
gen modifiers,0.3
prep with gen,0.2
all genitives,0.5
accusative obj,1.2
dative obj,0.3
genitive obj,0.0
prepositional obj,0.7
acc+dat obj,1.5
gen+prep obj,0.7
present forms,0.6
past forms,1.6
perfect forms,0.3
pqp forms,0.1
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.4
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.2
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.1
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.3
subjunctions,0.5
relative clauses,0.1
participial clauses pres,0.1
participial clauses past,0.0
all participial clauses,0.1
negations,0.1
question words,0.1
question marks,0.1
subj/pred inversions,1.2
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,14.9
concessive,1.4
conditional,22.0
consecutive,0.0
final,1.5
interrogative,0.9
modal,9.0
other,28.6
temporal,21.3
A1 features,7
A1 features summed,1.2
A2 features,6
A2 features summed,39.8
B1 features,4
B1 features summed,23.700000000000003
level features (all),40
level features (all) summed,55.400000000000034
