Feature,Value
words per sent,28.0
LIX,40.5
# words,280
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5409836065573771
adjectives,2.0
nouns,4.3
verbs,3.9
pronouns,5.0
particles,5.8
punctuation marks,7.0
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.7
full verbs,2.8
split verbs,0.4
nominative,1.2
accusative,1.6
dative,0.6
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.9
dative obj,0.1
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.0
gen+prep obj,0.1
present forms,0.9
past forms,1.8
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.1
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.4
subjunctions,0.4
relative clauses,0.0
participial clauses pres,0.2
participial clauses past,0.0
all participial clauses,0.2
negations,0.2
question words,0.0
question marks,0.0
subj/pred inversions,1.6
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,9.8
concessive,0.5
conditional,13.9
consecutive,0.0
final,0.9
interrogative,0.7
modal,5.1
other,15.9
temporal,9.3
A1 features,6
A1 features summed,1.4000000000000001
A2 features,6
A2 features summed,25.800000000000004
B1 features,3
B1 features summed,10.5
level features (all),32
level features (all) summed,44.10000000000002
