Feature,Value
words per sent,40.5
LIX,56.05555555555556
# words,405
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6173913043478261
adjectives,2.7
nouns,7.1
verbs,5.9
pronouns,8.8
particles,9.9
punctuation marks,6.1
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,2.1
full verbs,3.4
split verbs,0.1
nominative,2.6
accusative,2.0
dative,2.0
genitive,0.4
gen modifiers,0.4
prep with gen,0.0
all genitives,0.4
accusative obj,1.3
dative obj,0.4
genitive obj,0.0
prepositional obj,0.6
acc+dat obj,1.7
gen+prep obj,0.6
present forms,0.7
past forms,0.3
perfect forms,0.0
pqp forms,0.7
perfect+pqp forms,0.9
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.7
all futur forms,0.0
subj 1 forms,0.6
subj 2 forms,0.0
subj 2 aux forms,0.4
ind speech,0.0
irrealis mode,0.0
all subj forms,1.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.3
subjunctions,0.7
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.4
question words,0.2
question marks,0.0
subj/pred inversions,0.8
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,18.5
concessive,1.9
conditional,26.6
consecutive,0.0
final,1.5
interrogative,1.1
modal,11.7
other,37.5
temporal,30.3
A1 features,5
A1 features summed,1.1
A2 features,8
A2 features summed,47.3
B1 features,4
B1 features summed,33.4
level features (all),37
level features (all) summed,66.6
