Feature,Value
words per sent,19.9
LIX,37.99045226130653
# words,199
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7142857142857143
adjectives,1.2
nouns,3.6
verbs,3.1
pronouns,4.8
particles,4.6
punctuation marks,2.6
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.4
full verbs,2.6
split verbs,0.2
nominative,0.7
accusative,1.8
dative,1.3
genitive,0.2
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,1.0
dative obj,0.1
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.1
gen+prep obj,0.1
present forms,0.0
past forms,1.9
perfect forms,0.0
pqp forms,0.2
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.1
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.4
subjunctions,0.4
relative clauses,0.5
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.0
question marks,0.0
subj/pred inversions,0.5
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,10.0
concessive,0.6
conditional,14.9
consecutive,0.0
final,0.9
interrogative,0.7
modal,5.6
other,18.0
temporal,11.2
A1 features,4
A1 features summed,0.8
A2 features,7
A2 features summed,27.3
B1 features,4
B1 features summed,13.0
level features (all),35
level features (all) summed,35.000000000000014
