Feature,Value
words per sent,26.1
LIX,48.705363984674335
# words,261
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7727272727272727
adjectives,2.8
nouns,4.1
verbs,3.1
pronouns,6.3
particles,6.7
punctuation marks,3.1
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.5
full verbs,2.5
split verbs,0.2
nominative,0.5
accusative,1.9
dative,1.3
genitive,0.5
gen modifiers,0.4
prep with gen,0.0
all genitives,0.5
accusative obj,1.2
dative obj,0.0
genitive obj,0.1
prepositional obj,0.5
acc+dat obj,1.2
gen+prep obj,0.6
present forms,0.2
past forms,1.6
perfect forms,0.0
pqp forms,0.2
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.2
superlative,0.1
comp+superlative,0.3
conjunctions,0.2
subjunctions,0.4
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.0
question marks,0.0
subj/pred inversions,0.6
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,12.8
concessive,1.1
conditional,19.6
consecutive,0.0
final,1.4
interrogative,0.7
modal,7.9
other,24.9
temporal,17.8
A1 features,4
A1 features summed,0.6
A2 features,6
A2 features summed,35.1
B1 features,5
B1 features summed,19.9
level features (all),34
level features (all) summed,42.60000000000003
