Feature,Value
words per sent,36.9
LIX,57.767208672086724
# words,369
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.722488038277512
adjectives,3.3
nouns,7.0
verbs,5.3
pronouns,8.3
particles,8.5
punctuation marks,4.5
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,0.9
full verbs,4.1
split verbs,0.5
nominative,2.1
accusative,2.3
dative,2.1
genitive,0.5
gen modifiers,0.4
prep with gen,0.0
all genitives,0.4
accusative obj,1.9
dative obj,0.4
genitive obj,0.0
prepositional obj,0.5
acc+dat obj,2.3
gen+prep obj,0.5
present forms,0.0
past forms,3.0
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.7
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,1.1
subjunctions,0.3
relative clauses,1.3
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.1
question marks,0.0
subj/pred inversions,1.2
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,20.1
concessive,2.1
conditional,31.2
consecutive,0.0
final,1.8
interrogative,1.2
modal,12.6
other,43.5
temporal,34.3
A1 features,5
A1 features summed,2.1
A2 features,7
A2 features summed,55.699999999999996
B1 features,4
B1 features summed,38.89999999999999
level features (all),35
level features (all) summed,64.5
