Feature,Value
words per sent,37.8
LIX,56.58306878306878
# words,378
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6842105263157895
adjectives,3.0
nouns,6.0
verbs,4.8
pronouns,8.9
particles,9.7
punctuation marks,5.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,1.0
full verbs,3.8
split verbs,0.2
nominative,1.5
accusative,1.5
dative,3.0
genitive,0.3
gen modifiers,0.3
prep with gen,0.0
all genitives,0.3
accusative obj,1.4
dative obj,0.6
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,2.0
gen+prep obj,0.3
present forms,0.3
past forms,2.3
perfect forms,0.0
pqp forms,0.3
perfect+pqp forms,0.9
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.3
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.8
subjunctions,0.4
relative clauses,0.2
participial clauses pres,0.1
participial clauses past,0.0
all participial clauses,0.1
negations,0.2
question words,0.1
question marks,0.0
subj/pred inversions,1.3
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,21.7
concessive,2.1
conditional,33.8
consecutive,0.0
final,2.0
interrogative,1.2
modal,13.5
other,46.5
temporal,35.6
A1 features,4
A1 features summed,1.3
A2 features,7
A2 features summed,59.099999999999994
B1 features,4
B1 features summed,39.1
level features (all),36
level features (all) summed,61.899999999999984
