Feature,Value
words per sent,16.7
LIX,32.867664670658684
# words,167
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6938775510204082
adjectives,0.7
nouns,2.9
verbs,2.3
pronouns,3.3
particles,4.4
punctuation marks,3.1
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.4
full verbs,1.6
split verbs,0.3
nominative,0.8
accusative,0.7
dative,1.2
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.7
dative obj,0.3
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.0
gen+prep obj,0.2
present forms,1.0
past forms,0.2
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.2
subjunctions,0.2
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.4
question marks,0.3
subj/pred inversions,0.6
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,23.1
concessive,2.2
conditional,36.3
consecutive,0.0
final,2.4
interrogative,1.2
modal,13.6
other,49.2
temporal,36.8
A1 features,8
A1 features summed,1.8
A2 features,6
A2 features summed,60.2
B1 features,4
B1 features summed,40.49999999999999
level features (all),35
level features (all) summed,28.500000000000007
