Feature,Value
words per sent,19.6
LIX,29.293877551020408
# words,196
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.4891304347826087
adjectives,0.5
nouns,1.7
verbs,4.9
pronouns,5.2
particles,3.8
punctuation marks,3.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,2.0
full verbs,2.7
split verbs,0.0
nominative,1.1
accusative,0.9
dative,0.4
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.7
dative obj,0.2
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,0.9
gen+prep obj,0.1
present forms,2.2
past forms,0.0
perfect forms,1.2
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,1.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.6
subjunctions,0.4
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.1
question marks,0.0
subj/pred inversions,0.3
placeholder 'es',0.3
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,75.7
concessive,7.5
conditional,150.6
consecutive,5.3
final,14.7
interrogative,3.8
modal,36.6
other,197.2
temporal,154.2
A1 features,5
A1 features summed,2.2
A2 features,5
A2 features summed,231.9
B1 features,5
B1 features summed,171.1
level features (all),27
level features (all) summed,35.49999999999999
