Feature,Value
words per sent,10.2
LIX,34.70980392156863
# words,102
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5873015873015873
adjectives,0.3
nouns,2.0
verbs,1.5
pronouns,2.3
particles,1.7
punctuation marks,2.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.6
full verbs,0.8
split verbs,0.0
nominative,0.4
accusative,0.6
dative,0.4
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.5
dative obj,0.2
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.7
gen+prep obj,0.0
present forms,0.4
past forms,0.1
perfect forms,0.4
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.4
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.3
question words,0.1
question marks,0.5
subj/pred inversions,0.3
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,80.1
concessive,7.8
conditional,157.1
consecutive,5.3
final,15.0
interrogative,4.2
modal,37.7
other,203.4
temporal,156.5
A1 features,5
A1 features summed,1.4
A2 features,6
A2 features summed,242.9
B1 features,4
B1 features summed,173.8
level features (all),26
level features (all) summed,17.3
