Feature,Value
words per sent,12.1
LIX,31.934710743801652
# words,121
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.654320987654321
adjectives,0.8
nouns,2.1
verbs,1.6
pronouns,2.4
particles,2.1
punctuation marks,3.1
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.3
full verbs,1.3
split verbs,0.1
nominative,0.8
accusative,0.6
dative,0.3
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.4
dative obj,0.0
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,0.4
gen+prep obj,0.3
present forms,0.4
past forms,1.0
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.1
comp+superlative,0.1
conjunctions,0.2
subjunctions,0.0
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.1
question marks,0.0
subj/pred inversions,0.8
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,82.8
concessive,8.1
conditional,160.4
consecutive,5.3
final,15.2
interrogative,4.3
modal,38.3
other,207.6
temporal,157.5
A1 features,4
A1 features summed,0.6000000000000001
A2 features,5
A2 features summed,249.8
B1 features,5
B1 features summed,175.29999999999998
level features (all),27
level features (all) summed,20.200000000000006
