Feature,Value
words per sent,19.0
LIX,34.26315789473684
# words,190
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7428571428571429
adjectives,1.4
nouns,3.1
verbs,3.2
pronouns,3.7
particles,4.8
punctuation marks,2.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,0.7
full verbs,2.2
split verbs,0.2
nominative,0.8
accusative,1.3
dative,1.4
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.8
dative obj,0.1
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,0.9
gen+prep obj,0.2
present forms,0.1
past forms,0.9
perfect forms,0.0
pqp forms,0.2
perfect+pqp forms,0.4
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.2
subj 2 forms,0.0
subj 2 aux forms,0.2
ind speech,0.0
irrealis mode,0.0
all subj forms,0.4
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.3
subjunctions,0.1
relative clauses,0.5
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.2
question marks,0.0
subj/pred inversions,0.4
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,74.1
concessive,7.5
conditional,147.8
consecutive,5.3
final,14.7
interrogative,3.8
modal,36.4
other,194.0
temporal,152.8
A1 features,5
A1 features summed,1.1
A2 features,8
A2 features summed,228.7
B1 features,5
B1 features summed,169.9
level features (all),34
level features (all) summed,32.4
