Feature,Value
words per sent,29.0
LIX,53.827586206896555
# words,290
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7470588235294118
adjectives,2.9
nouns,5.2
verbs,3.9
pronouns,6.5
particles,6.9
punctuation marks,3.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,0.7
full verbs,2.9
split verbs,0.1
nominative,0.8
accusative,2.1
dative,1.6
genitive,0.6
gen modifiers,0.5
prep with gen,0.0
all genitives,0.5
accusative obj,1.0
dative obj,0.6
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.6
gen+prep obj,0.1
present forms,1.3
past forms,1.0
perfect forms,0.2
pqp forms,0.0
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.2
superlative,0.1
comp+superlative,0.3
conjunctions,0.1
subjunctions,0.1
relative clauses,0.4
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.3
question words,0.2
question marks,0.0
subj/pred inversions,0.9
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,34.5
concessive,3.2
conditional,59.9
consecutive,0.0
final,6.2
interrogative,1.8
modal,16.5
other,90.2
temporal,66.5
A1 features,6
A1 features summed,1.2
A2 features,7
A2 features summed,96.8
B1 features,4
B1 features summed,71.9
level features (all),36
level features (all) summed,47.80000000000001
