Feature,Value
words per sent,37.0
LIX,55.10810810810811
# words,370
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6201923076923077
adjectives,3.9
nouns,5.0
verbs,4.8
pronouns,9.3
particles,7.3
punctuation marks,6.5
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,1.3
full verbs,3.0
split verbs,0.0
nominative,1.5
accusative,1.3
dative,1.6
genitive,0.9
gen modifiers,0.7
prep with gen,0.0
all genitives,0.7
accusative obj,1.1
dative obj,0.5
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.6
gen+prep obj,0.1
present forms,1.3
past forms,1.9
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.4
subjunctions,0.2
relative clauses,0.3
participial clauses pres,0.1
participial clauses past,0.0
all participial clauses,0.1
negations,0.2
question words,0.2
question marks,0.0
subj/pred inversions,0.9
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,40.5
concessive,3.5
conditional,68.5
consecutive,0.0
final,7.3
interrogative,2.1
modal,18.7
other,101.3
temporal,83.9
A1 features,4
A1 features summed,1.0
A2 features,7
A2 features summed,112.3
B1 features,4
B1 features summed,89.8
level features (all),35
level features (all) summed,57.70000000000001
