Feature,Value
words per sent,16.8
LIX,35.25238095238095
# words,168
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6941176470588235
adjectives,1.6
nouns,1.5
verbs,2.5
pronouns,4.3
particles,4.2
punctuation marks,2.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,1.0
full verbs,1.3
split verbs,0.1
nominative,0.6
accusative,1.1
dative,0.4
genitive,0.2
gen modifiers,0.1
prep with gen,0.1
all genitives,0.2
accusative obj,1.0
dative obj,0.3
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.3
gen+prep obj,0.1
present forms,1.4
past forms,0.1
perfect forms,0.2
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.1
comp+superlative,0.1
conjunctions,0.3
subjunctions,0.2
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.0
question marks,0.0
subj/pred inversions,0.8
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,40.2
concessive,3.5
conditional,68.1
consecutive,0.0
final,7.3
interrogative,2.1
modal,18.7
other,101.3
temporal,83.2
A1 features,5
A1 features summed,0.9000000000000001
A2 features,6
A2 features summed,108.89999999999999
B1 features,4
B1 features summed,88.89999999999999
level features (all),35
level features (all) summed,28.700000000000014
